CODIGO_SUCURSAL|DESCRIPCION_SUCURSAL|CODIGO_ARTÍCULO|DESCRIPCION_ARTÍCULO|ESTADOS|UNIDAD_DE_MEDIDA_MINIMA|CANTIDAD_UNIDAD_MINIMA|UNIDAD_DE_MEDIDA_LOGISTICA|CANTIDAD_UNIDAD_LOGISTICA|COSTO_UNITARIO_UNIDAD_MINIMA|LOTE_PROVEEDOR|LOTE_SAP|FECHA_VENCIMIENTO|SISTEMA_ORIGEN|FECHA_ACTUALIZACION
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|41107|LISTERINE (0.09+0.04+0.06+0.06)% SOL BUC WARNER LAMBERT FCO X 500ML    COOLMINT|DISPONIBLE|FRASCO|0|FRASCO|0|14667,79|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|530914|MRY SALICILICO ACIDO    BOL X 10GR|DISPONIBLE|BOLSA|1|BOLSA|1|580,95|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|529378|MRY LIPSTICK   GLIPS BAR X 2.3GR   DREAMS|DISPONIBLE|BARRA|0|BARRA|0|10969,5|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|529554|MRY SOMBRA DE OJOS   LA FORET CAJ X 1   BUTTERNUT|DISPONIBLE|CAJA|1|CAJA|1|17647|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|529622|MRY CREMA PARA PEINAR OMEGA   BIOEXPERT FCO X 280ML|DISPONIBLE|FRASCO|0|FRASCO|0|7561,67|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|530188|MRY JABON LIQUIDO ANTIBACTERIA   REXONA DOYPACK X 850ML|DISPONIBLE|BOLSA|0|BOLSA|0|5914,16|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|526272|MANTO LOCION SKIN    FCO X 400ML ACIDO PIEL|DISPONIBLE|FRASCO|0|FRASCO|0|22907,79|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|528577|MRY AGUA SIN GAS   PUREZA FCO X 500ML|DISPONIBLE|FRASCO|14|FRASCO|14|1156,89|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|528816|MRY ACONDICIONADOR BIOTINA Y C   ORGANIX FCO X 385ML|DISPONIBLE|FRASCO|0|FRASCO|0|26146,5|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|40532|CREM LIQ   JOHNSON S BABY FCO X 200ML|DISPONIBLE|FRASCO|0|FRASCO|0|10008,81|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|526727|TAPABOCAS AZUL  CAJA X 50|DISPONIBLE|PIEZA|50|CAJA|1|295,19|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|50129|IPRASYNT 20MCG/DOSIS SOL INH ORAL  FCO X 200DOSIS|DISPONIBLE|FRASCO|0|FRASCO|0|17714,81|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|21706|DEPAKENE 250MG/5ML(5%) JBE  FCO X 120ML|DISPONIBLE|FRASCO|0|FRASCO|0|26778,77|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|32602|ENDOXAN 1GR POLV INY  VIAL|DISPONIBLE|VIAL|0|VIAL|0|38509,99|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|402398|CETOPIC SERUM 22%    FCO X 30ML VITAMINA C TOPICA|DISPONIBLE|FRASCO|0|FRASCO|0|109929|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|21644|PEDIAVIT MULTIPLES COMPONENTES SOL ORAL  FCO X 10ML|DISPONIBLE|CAJA_INDIVIDUAL|0|CAJA_INDIVIDUAL|0|23671,9|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|82884|CLOB X 0.05% SHAMPOO  FCO X 125ML|DISPONIBLE|FRASCO|0|FRASCO|0|121368,54|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|97559|COMPLEJO B (50+50+5+25)MG/ML SOL INY  FCO X 10ML ECAR|DISPONIBLE|VIAL|2|VIAL|2|7040,17|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|97766|CLOTRIMAZOL 100MG OVUL  CAJ X 10 PROCAPS|DISPONIBLE|CAPSULA|0|CAJA|0|491,95|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|168571|DESLODEX 5MG TAB REC  CAJ X 20|DISPONIBLE|TABLETA|20|CAJA|1|3450,14|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|76423|AMIKACINA 500MG/2ML(250MG/ML) SOL INY INST CAJ X 10AMP X 2ML GENFAR|DISPONIBLE|AMPOLLA|0|CAJA|0|1876,22|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|63574|INVEGA 3MG TAB LIB PROL  CAJ X 14|DISPONIBLE|TABLETA|0|CAJA|0|4310,23|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|95243|DESLORATADINA 2.5MG/5ML(0.05%) JBE  FCO X 60ML AMER GEN|DISPONIBLE|FRASCO|0|FRASCO|0|22207,88|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|59778|VIGIA 200MG CAP BLAND  CAJ X 14|DISPONIBLE|CAPSULA|0|CAJA|0|10747,89|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|81146|EPIDUO (0.1+2.5)% GEL TOP  TUB X 30GR|DISPONIBLE|TUBO|0|TUBO|0|123120,11|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|84741|HOM 537429 BELLAFACE (2+0.03)MG TAB REC  CAJ X 21|DISPONIBLE|TABLETA|0|CAJA|0|590,86|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|98813|KIT TINTE CAPILAR 5.22   COLORISS CAJ X 1   CASTANO CLARO VIOLETA INTENSO|DISPONIBLE|CAJA|0|CAJA|0|5067,06|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|533831|MRY JABON ANTIBACTERIAL   REXONA BAR X 120GR BAMBOO|DISPONIBLE|BARRA|0|BARRA|0|2416,66|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|159272|DTE MUJER   BALANCE FCO X 50GR CLINICAL PROTECTION|DISPONIBLE|FRASCO|0|FRASCO|0|14636,25|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|46312|KAPTIN 300MG CAP  CAJ X 30|DISPONIBLE|CAPSULA|0|CAJA|0|395,82|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|530111|ROSUVITAE 20MG TAB REC  CAJ X 28|DISPONIBLE|TABLETA|0|CAJA|0|5172,02|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|107539|SYSTANE BALANCE 6MG/ML(0.6%) EMUL OFT  FCO X 10ML|DISPONIBLE|FRASCO|0|FRASCO|0|49234,96|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|75196|TERBINAFINA 250MG TAB  CAJ X 14 MK|DISPONIBLE|TABLETA|0|CAJA|0|3322,92|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|97254|CONTUMAX SUSTANCIA PURA POLV SUSP ORAL  CAJ X 15SOBX17GR|DISPONIBLE|SOBRE|5|CAJA|0,33|4471,99|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|131006|MICROPORE  ROL X 1 NEXCARE  24MMX5M|DISPONIBLE|ROLLO|0|ROLLO|0|11057,35|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|168784|COVERSYL A 10MG TAB REC INST FCO X 30|DISPONIBLE|TABLETA|0|FRASCO|0|1090,13|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|529058|MRY LAPIZ DE OJOS   ANA MARIA UNIDAD   PURPURA|DISPONIBLE|PIEZA|0|PIEZA|0|7333,67|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|84019|EBIXA 10MG TAB REC  CAJ X 28|DISPONIBLE|TABLETA|0|CAJA|0|1817,22|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|159366|PESA DIGITAL CORPORAL   SCANMED CAJ X 1 REF SYE-907|DISPONIBLE|PIEZA|0|PIEZA|0|27104,83|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|160506|TENSIOMETRO DIGITAL PARA BRAZO REF BP-103H CAJ X 1 SCANMED|DISPONIBLE|CAJA|0|CAJA|0|99983,73|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|135292|ENSOY PREDYAL    TAR X400GR    VAINILLA|DISPONIBLE|TARRO|0|TARRO|0|57027,8|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|58410|JANUVIA 100MG TAB REC  CAJ X 28|DISPONIBLE|TABLETA|0|CAJA|0|5118,97|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|108209|S26 ALULA COMFORT GOLD (0-12 M    TAR X 400GR|DISPONIBLE|TARRO|0|TARRO|0|53684,23|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|530244|MRY PANTENE   PROCTER AND GAMBLE COLOMBIA POT X 300ML|DISPONIBLE|POTE|0|POTE|0|12472|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|116336|ARCALION 200MG TAB REC  CAJ X 60|DISPONIBLE|TABLETA|0|CAJA|0|2211,31|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|100326|PROMO TOALLITAS HUMEDAS ALOE V   PEQUENIN PAQ X 1 PAG50 LLEV70|DISPONIBLE|PAQUETE|0|PAQUETE|0|5346,15|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|19110|IMURAN 50MG TAB REC  CAJ X 100|DISPONIBLE|TABLETA|75|CAJA|0,75|2325,92|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|105041|LOMOTIL (0.025+2.5)MG TAB  PAQ X 12CAJX4|DISPONIBLE|TABLETA|0|PAQUETE|0|1602,67|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|63816|ACCU CHEK TIRAS PERFORMA REF 6454011023  ACCU-CHECK   BLANCO ROJO|DISPONIBLE|CAJA|0|CAJA|0|43873,89|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|525503|PEDIASURE    FCO X 220ML    FRESA|DISPONIBLE|FRASCO|2|FRASCO|2|7486,19|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|20005|TOBRADEX (0.1+0.3)% UNG OFT  TUB X 3.5GR|DISPONIBLE|TUBO|0|TUBO|0|85074,58|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|71622|DIANE R 35 (2+0.035)MG TAB REC  CAJ X 21|DISPONIBLE|GRAGEA|21|CAJA|1|436,47|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|106844|ACID-MANTLE 0.05% CREM TOP  TUB X 60GR|DISPONIBLE|TUBO|0|TUBO|0|25700,56|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|100327|PANITOS HUMEDOS ORIGINAL    PEQUENIN PAQ X 24 15 a 30°C|DISPONIBLE|PIEZA|0|PAQUETE|0|119,62|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|112428|PROMO TINTE PERMANENTE   PALETTE SCHWARZKOPF PAQ X 1 6-0 INTENSIVE COLOR CREME  RUBIO OSCURO|DISPONIBLE|CAJA|0|CAJA|0|11908,46|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|160830|PROM GASA ESTERIL PAG9 LLEV12 CAJ X 12SOB X 2UND NEXCARE  15CM X 15CM|DISPONIBLE|CAJA|9|CAJA|9|7834,64|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|18063|CELECOXIB 100MG CAP  CAJ X 20 GENFAR|DISPONIBLE|CAPSULA|0|CAJA|0|273,14|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|99277|HIPOGLOS CALENDULA    POT X 60GR|DISPONIBLE|POTE|0|POTE|0|12319,42|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|119755|STAFEN (135+5)MG CAP  CAJ X 30|DISPONIBLE|CAPSULA|0|CAJA|0|8418,7|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|135386|GEL FACIAL HOMME   ARAWAK MAGNIFIQUE POT X50GR|DISPONIBLE|POTE|0|POTE|0|36516,11|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|128074|NUTRIGEL 2.0  POLV SUSP ORAL  CAJ X 30SOBX10.4GR    NARANJA|DISPONIBLE|SOBRE|0|CAJA|0|2285,92|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|112426|PROMO TINTE PERMANENTE   PALETTE SCHWARZKOPF PAQ X 1 5-0 INTENSIVE COLOR CREME  CASTANO CLARO|DISPONIBLE|CAJA|0|CAJA|0|12022,09|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|144043|D.A. LAXIUM 5MG TAB LIB RET  CAJ X 100|DISPONIBLE|TABLETA|20|CAJA|0,2|38|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|144863|PLATEMAX 75MG TAB REC  CAJ X 3 75MG TAB REC  CAJ X 30|INCONSIST|TABLETA|0|CAJA|0|876,15|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|129383|PROT SOLAR CREMA BABY   TANGA TUB X 120ML SFP 100|DISPONIBLE|TUBO|1|TUBO|1|29350,21|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|83667|AZARGA (10+5)MG/ML(1+0.5)% SUSP OFT  FCO X 5ML|DISPONIBLE|FRASCO|0|FRASCO|0|82522,22|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|127366|LASS LAXANTE AD 2.39GR SUPOS  POT X 50|DISPONIBLE|SUPOSITORIO|213|POTE|4,26|1192,1|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|120066|SYNVISC SUSP INY HYLAN G-F 20  JER PREL X 2ML   16MG/2ML(8MG/ML)|DISPONIBLE|JERINGA_PRELLENADA|0|JERINGA_PRELLENADA|0|326692,73|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|121894|SINOGAN 40MG/ML(4%) SOL ORAL  FCO X 20ML|DISPONIBLE|FRASCO|0|FRASCO|0|60373,26|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|98185|BENGAY DOLORES ART (8+30)% CREM TOP  TUB X 30GR|DISPONIBLE|TUBO|0|TUBO|0|18602,57|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|121505|ENTEROGERMINA 2000MUI/5ML SUSP ORAL  CAJ X 10AMPACKX5ML|DISPONIBLE|AMPULEPAC|0|CAJA|0|6219,44|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|104405|REMOVED PLACA DENTAL SOFT PICK REF 632  GUM|DISPONIBLE|SOBRE|1|SOBRE|1|16366,74|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|114070|SPRAINER+120 APLICADORES    FCO X 80ML|DISPONIBLE|FRASCO|0|FRASCO|0|64717,56|null|null|null|BOPOS|4/10/2023 8:42:47 a. m.|
